movie_id,title,genres
101,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
102,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
103,Catwalk (1995),Documentary
104,Braveheart (1995),Action|Drama|War
105,Taxi Driver (1976),Drama|Thriller
106,Rumble in the Bronx (1995),Action|Adventure|Crime
107,Before and After (1996),Drama|Mystery
108,Margaret's Museum (1995),Drama
109,Anne Frank Remembered (1995),Documentary
110,"Young Poisoner's Handbook, The (1995)",Crime
111,If Lucy Fell (1996),Comedy|Romance
112,"Steal Big, Steal Little (1995)",Comedy
113,"Boys of St. Vincent, The (1993)",Drama
114,Boomerang (1992),Comedy|Romance
115,Chungking Express (1994),Drama|Mystery|Romance
116,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
117,Flirting With Disaster (1996),Comedy
118,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
119,Jupiter's Wife (1994),Documentary
120,Pie in the Sky (1995),Comedy|Romance
121,Frankie Starlight (1995),Drama|Romance
122,Jade (1995),Thriller
123,Down Periscope (1996),Comedy
124,From the Journals of Jean Seberg (1995),Documentary
125,Man of the Year (1995),Documentary
126,Up Close and Personal (1996),Drama|Romance
127,"Birdcage, The (1996)",Comedy
128,"Brothers McMullen, The (1995)",Comedy
129,Bad Boys (1995),Action
130,"Amazing Panda Adventure, The (1995)",Adventure|Children's
131,"Basketball Diaries, The (1995)",Drama
132,"Awfully Big Adventure, An (1995)",Drama
133,Amateur (1994),Crime|Drama|Thriller
134,Apollo 13 (1995),Drama
135,Rob Roy (1995),Drama|Romance|War
136,"Addiction, The (1995)",Horror
137,Batman Forever (1995),Action|Adventure|Comedy|Crime
138,Belle de jour (1967),Drama
139,Beyond Rangoon (1995),Drama|War
140,Blue in the Face (1995),Comedy
141,Canadian Bacon (1994),Comedy|War
142,Casper (1995),Adventure|Children's
143,Clockers (1995),Drama
144,Congo (1995),Action|Adventure|Mystery|Sci-Fi
145,Crimson Tide (1995),Drama|Thriller|War
146,Crumb (1994),Documentary
147,Desperado (1995),Action|Romance|Thriller
148,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
149,Die Hard: With a Vengeance (1995),Action|Thriller
150,"Doom Generation, The (1995)",Comedy|Drama
151,Feast of July (1995),Drama
152,First Knight (1995),Action|Adventure|Drama|Romance
153,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
154,Hackers (1995),Action|Crime|Thriller
155,Jeffrey (1995),Comedy
156,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
157,Judge Dredd (1995),Action|Adventure|Sci-Fi
158,Jury Duty (1995),Comedy
159,Kids (1995),Drama
160,Living in Oblivion (1995),Comedy
161,Lord of Illusions (1995),Horror
162,Love & Human Remains (1993),Comedy
163,Mad Love (1995),Drama|Romance
164,Mallrats (1995),Comedy
165,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
166,Moonlight and Valentino (1995),Drama|Romance
167,Mute Witness (1994),Thriller
168,Nadja (1994),Drama
169,"Net, The (1995)",Sci-Fi|Thriller
170,Nine Months (1995),Comedy
171,Party Girl (1995),Comedy
172,"Prophecy, The (1995)",Horror
173,Reckless (1995),Comedy
174,Safe (1995),Thriller
175,"Scarlet Letter, The (1995)",Drama
176,Showgirls (1995),Drama
177,Smoke (1995),Drama
178,Something to Talk About (1995),Comedy|Drama|Romance
179,Species (1995),Horror|Sci-Fi
180,"Stars Fell on Henrietta, The (1995)",Drama
181,Strange Days (1995),Action|Crime|Sci-Fi
182,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
183,"Tie That Binds, The (1995)",Thriller
184,Three Wishes (1995),Drama
185,Total Eclipse (1995),Drama|Romance
186,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
187,Under Siege 2: Dark Territory (1995),Action
188,Unstrung Heroes (1995),Comedy|Drama
189,Unzipped (1995),Documentary
190,"Walk in the Clouds, A (1995)",Drama|Romance
191,Waterworld (1995),Action|Adventure
192,White Man's Burden (1995),Drama
193,Wild Bill (1995),Western
194,"Browning Version, The (1994)",Drama
195,Bushwhacked (1995),Comedy
196,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
197,Before the Rain (Pred dozhdot) (1994),Drama
198,Before Sunrise (1995),Drama|Romance
199,Billy Madison (1995),Comedy
200,"Babysitter, The (1995)",Drama|Thriller
201,Boys on the Side (1995),Comedy|Drama
202,"Cure, The (1995)",Drama
203,Castle Freak (1995),Horror
204,Circle of Friends (1995),Drama|Romance
205,Clerks (1994),Comedy
206,Don Juan DeMarco (1995),Comedy|Drama|Romance
207,Disclosure (1994),Drama|Thriller
208,Drop Zone (1994),Action
209,Destiny Turns on the Radio (1995),Comedy
210,Death and the Maiden (1994),Drama|Thriller
211,Dolores Claiborne (1994),Drama|Thriller
212,Dumb & Dumber (1994),Comedy
213,Eat Drink Man Woman (1994),Comedy|Drama
214,Exotica (1994),Drama
215,Exit to Eden (1994),Comedy
216,Ed Wood (1994),Comedy|Drama
217,French Kiss (1995),Comedy|Romance
218,Forget Paris (1995),Comedy|Romance
219,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
220,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
221,Hideaway (1995),Thriller
222,Fluke (1995),Children's|Drama
223,Farinelli: il castrato (1994),Drama|Musical
224,Gordy (1995),Comedy
225,Gumby: The Movie (1995),Animation|Children's
226,"Glass Shield, The (1994)",Crime|Drama
227,Hoop Dreams (1994),Documentary
228,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
229,Houseguest (1994),Comedy
230,Immortal Beloved (1994),Drama|Romance
231,Heavyweights (1994),Children's|Comedy
232,"Hunted, The (1995)",Action
233,I.Q. (1994),Comedy|Romance
234,Interview with the Vampire (1994),Drama|Horror
235,Jefferson in Paris (1995),Drama
236,"Jerky Boys, The (1994)",Comedy
237,Junior (1994),Comedy|Sci-Fi
238,Just Cause (1995),Mystery|Thriller
239,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
240,Kiss of Death (1995),Crime|Drama|Thriller
241,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
242,Little Women (1994),Drama
243,"Little Princess, A (1995)",Children's|Drama
244,Ladybird Ladybird (1994),Drama
245,"Enfer, L' (1994)",Drama
246,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
247,Legends of the Fall (1994),Drama|Romance|War|Western
248,Major Payne (1994),Comedy
249,Little Odessa (1994),Drama
250,My Crazy Life (Mi vida loca) (1993),Drama
251,Love Affair (1994),Drama|Romance
252,Losing Isaiah (1995),Drama
253,"Madness of King George, The (1994)",Drama
254,Mary Shelley's Frankenstein (1994),Drama|Horror
255,Man of the House (1995),Comedy
256,Mixed Nuts (1994),Comedy
257,Milk Money (1994),Comedy|Romance
258,Miracle on 34th Street (1994),Drama
259,Miami Rhapsody (1995),Comedy
260,My Family (1995),Drama
261,Murder in the First (1995),Drama|Thriller
262,Nobody's Fool (1994),Drama
263,Nell (1994),Drama
264,New Jersey Drive (1995),Crime|Drama
265,Nina Takes a Lover (1994),Comedy|Romance
266,Natural Born Killers (1994),Action|Thriller
267,Only You (1994),Comedy|Romance
268,Once Were Warriors (1994),Crime|Drama
269,Poison Ivy II (1995),Thriller
270,Outbreak (1995),Action|Drama|Thriller
271,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
272,"Perez Family, The (1995)",Comedy|Romance
273,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
274,Pulp Fiction (1994),Crime|Drama
275,Panther (1995),Drama
276,Pushing Hands (1992),Comedy
277,Priest (1994),Drama
278,Quiz Show (1994),Drama
279,Picture Bride (1995),Drama|Romance
280,Queen Margot (La Reine Margot) (1994),Drama|Romance
281,"Quick and the Dead, The (1995)",Action|Adventure|Western
282,Roommates (1995),Comedy|Drama
283,Ready to Wear (Pret-A-Porter) (1994),Comedy
284,Three Colors: Red (1994),Drama
285,Three Colors: Blue (1993),Drama
286,Three Colors: White (1994),Drama
287,"Red Firecracker, Green Firecracker (1994)",Drama
288,Rent-a-Kid (1995),Comedy
289,Stuart Saves His Family (1995),Comedy
290,"Swan Princess, The (1994)",Animation|Children's
291,"Secret of Roan Inish, The (1994)",Drama
292,"Specialist, The (1994)",Action
293,Stargate (1994),Action|Adventure|Sci-Fi
294,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
295,"Shawshank Redemption, The (1994)",Drama
296,Shallow Grave (1994),Thriller
297,Suture (1993),Film-Noir|Thriller
298,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
299,Swimming with Sharks (1995),Comedy|Drama
300,"Sum of Us, The (1994)",Comedy
301,National Lampoon's Senior Trip (1995),Comedy
302,To Live (Huozhe) (1994),Drama
303,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
304,Tales From the Crypt Presents: Demon Knight (1995),Horror
305,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
306,Tales from the Hood (1995),Comedy|Horror
307,Tom & Viv (1994),Drama
308,Village of the Damned (1995),Horror|Sci-Fi
309,Tommy Boy (1995),Comedy
310,Vanya on 42nd Street (1994),Drama
311,"Underneath, The (1995)",Mystery|Thriller
312,"Walking Dead, The (1995)",Drama|War
313,What's Eating Gilbert Grape (1993),Drama
314,Virtuosity (1995),Sci-Fi|Thriller
315,While You Were Sleeping (1995),Comedy|Romance
316,"War, The (1994)",Adventure|Drama
317,Double Happiness (1994),Drama
318,Muriel's Wedding (1994),Comedy|Romance
319,"Baby-Sitters Club, The (1995)",Children's
320,Ace Ventura: Pet Detective (1994),Comedy
321,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
322,Backbeat (1993),Drama|Musical
323,Bitter Moon (1992),Drama
324,Bullets Over Broadway (1994),Comedy
325,Clear and Present Danger (1994),Action|Adventure|Thriller
326,"Client, The (1994)",Drama|Mystery|Thriller
327,"Corrina, Corrina (1994)",Comedy|Drama|Romance
328,Crooklyn (1994),Comedy
329,"Crow, The (1994)",Action|Romance|Thriller
330,Cobb (1994),Drama
331,"Flintstones, The (1994)",Children's|Comedy
332,Forrest Gump (1994),Comedy|Romance|War
333,Four Weddings and a Funeral (1994),Comedy|Romance
334,Higher Learning (1995),Drama
335,I Like It Like That (1994),Comedy|Drama|Romance
336,I Love Trouble (1994),Action|Comedy
337,It Could Happen to You (1994),Drama|Romance
338,"Jungle Book, The (1994)",Adventure|Children's|Romance
339,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
340,"Lion King, The (1994)",Animation|Children's|Musical
341,Little Buddha (1993),Drama
342,Wes Craven's New Nightmare (1994),Horror
343,"Mask, The (1994)",Comedy|Crime|Fantasy
344,Maverick (1994),Action|Comedy|Western
345,Mrs. Parker and the Vicious Circle (1994),Drama
346,Naked Gun 33 1/3: The Final Insult (1994),Comedy
347,"Paper, The (1994)",Comedy|Drama
348,Reality Bites (1994),Comedy|Drama
349,Red Rock West (1992),Thriller
350,Richie Rich (1994),Children's|Comedy
351,Safe Passage (1994),Drama
352,"River Wild, The (1994)",Action|Thriller
353,Speed (1994),Action|Romance|Thriller
354,Speechless (1994),Comedy|Romance
355,Timecop (1994),Action|Sci-Fi
356,True Lies (1994),Action|Adventure|Comedy|Romance
357,When a Man Loves a Woman (1994),Drama
358,Wolf (1994),Drama|Horror
359,Wyatt Earp (1994),Western
360,Bad Company (1995),Action
361,"Man of No Importance, A (1994)",Drama
362,S.F.W. (1994),Drama
363,"Low Down Dirty Shame, A (1994)",Action|Comedy
364,Boys Life (1995),Drama
365,"Colonel Chabert, Le (1994)",Drama|Romance|War
366,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
367,Jason's Lyric (1994),Crime|Drama
368,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
369,Street Fighter (1994),Action
370,Coldblooded (1995),Action
371,"Fear, The (1995)",Horror
372,Highlander III: The Sorcerer (1994),Action|Sci-Fi
373,Federal Hill (1994),Drama
374,In the Mouth of Madness (1995),Horror|Thriller
375,8 Seconds (1994),Drama
376,Above the Rim (1994),Drama
377,Addams Family Values (1993),Comedy
378,You So Crazy (1994),Comedy
379,"Age of Innocence, The (1993)",Drama
380,Airheads (1994),Comedy
381,"Air Up There, The (1994)",Comedy
382,Another Stakeout (1993),Comedy|Thriller
383,Bad Girls (1994),Western
384,Barcelona (1994),Comedy|Romance
385,Being Human (1993),Drama
386,"Beverly Hillbillies, The (1993)",Comedy
387,Beverly Hills Cop III (1994),Action|Comedy
388,Black Beauty (1994),Adventure|Children's
389,Blink (1994),Thriller
390,Blown Away (1994),Action|Thriller
391,Blue Chips (1994),Drama
392,Blue Sky (1994),Drama|Romance
393,Body Snatchers (1993),Horror|Sci-Fi|Thriller
394,Boxing Helena (1993),Mystery|Romance|Thriller
395,"Bronx Tale, A (1993)",Drama
396,Cabin Boy (1994),Comedy
397,Calendar Girl (1993),Drama
398,Carlito's Way (1993),Crime|Drama
399,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
400,Clean Slate (1994),Comedy
401,Cliffhanger (1993),Action|Adventure|Crime
402,Coneheads (1993),Comedy|Sci-Fi
403,Color of Night (1994),Drama|Thriller
404,Cops and Robbersons (1994),Comedy
405,"Cowboy Way, The (1994)",Action|Comedy
406,Dave (1993),Comedy|Romance
407,Dazed and Confused (1993),Comedy
408,Demolition Man (1993),Action|Sci-Fi
409,"Endless Summer 2, The (1994)",Documentary
410,Even Cowgirls Get the Blues (1993),Comedy|Romance
411,Fatal Instinct (1993),Comedy
412,Farewell My Concubine (1993),Drama|Romance
413,"Favor, The (1994)",Comedy|Romance
414,Fearless (1993),Drama
415,Fear of a Black Hat (1993),Comedy
416,With Honors (1994),Comedy|Drama
417,Flesh and Bone (1993),Drama|Mystery|Romance
418,Widows' Peak (1994),Drama
419,For Love or Money (1993),Comedy
420,"Firm, The (1993)",Drama|Thriller
421,Free Willy (1993),Adventure|Children's|Drama
422,Fresh (1994),Drama
423,"Fugitive, The (1993)",Action|Thriller
424,Geronimo: An American Legend (1993),Drama|Western
425,"Getaway, The (1994)",Action
426,Getting Even with Dad (1994),Comedy
427,Go Fish (1994),Drama|Romance
428,"Good Man in Africa, A (1994)",Action|Adventure
429,Guilty as Sin (1993),Crime|Drama|Thriller
430,Hard Target (1993),Action|Adventure|Crime|Thriller
431,Heaven & Earth (1993),Action|Drama|War
432,Hot Shots! Part Deux (1993),Action|Comedy|War
433,Live Nude Girls (1995),Comedy
434,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance
435,"House of the Spirits, The (1993)",Drama|Romance
436,House Party 3 (1994),Comedy
437,"Hudsucker Proxy, The (1994)",Comedy|Romance
438,I'll Do Anything (1994),Comedy|Drama
439,In the Army Now (1994),Comedy|War
440,In the Line of Fire (1993),Action|Thriller
441,In the Name of the Father (1993),Drama
442,"Inkwell, The (1994)",Comedy|Drama
443,What's Love Got to Do with It? (1993),Drama
444,Jimmy Hollywood (1994),Comedy
445,Judgment Night (1993),Action
446,Jurassic Park (1993),Action|Adventure|Sci-Fi
447,Kalifornia (1993),Drama|Thriller
448,Killing Zoe (1994),Thriller
449,King of the Hill (1993),Drama
450,Lassie (1994),Adventure|Children's
451,Last Action Hero (1993),Action|Comedy
452,Life with Mikey (1993),Comedy
453,Lightning Jack (1994),Comedy|Western
454,M. Butterfly (1993),Drama
455,Made in America (1993),Comedy
456,Malice (1993),Thriller
457,"Man Without a Face, The (1993)",Drama
458,Manhattan Murder Mystery (1993),Comedy|Mystery
459,Menace II Society (1993),Action|Crime|Drama
460,Executive Decision (1996),Action|Thriller
461,In the Realm of the Senses (Ai no corrida) (1976),Drama
462,What Happened Was... (1994),Comedy|Drama|Romance
463,Much Ado About Nothing (1993),Comedy|Romance
464,Mr. Jones (1993),Drama|Romance
465,Mr. Wonderful (1993),Comedy|Romance
466,Mrs. Doubtfire (1993),Comedy
467,Naked (1993),Drama
468,"Next Karate Kid, The (1994)",Action|Children's
469,"New Age, The (1994)",Drama
470,No Escape (1994),Action|Sci-Fi
471,North (1994),Comedy
472,Orlando (1993),Drama
473,"Perfect World, A (1993)",Action|Drama
474,Philadelphia (1993),Drama
475,"Piano, The (1993)",Drama|Romance
476,Poetic Justice (1993),Drama
477,"Program, The (1993)",Action|Drama
478,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi
479,Radioland Murders (1994),Comedy|Mystery|Romance
480,"Ref, The (1994)",Comedy
481,"Remains of the Day, The (1993)",Drama
482,Renaissance Man (1994),Comedy|Drama|War
483,Rising Sun (1993),Action|Drama|Mystery
484,"Road to Wellville, The (1994)",Comedy
485,Robocop 3 (1993),Sci-Fi|Thriller
486,Robin Hood: Men in Tights (1993),Comedy
487,Romeo Is Bleeding (1993),Crime|Thriller
488,Romper Stomper (1992),Action|Drama
489,Ruby in Paradise (1993),Drama
490,Rudy (1993),Drama
491,"Saint of Fort Washington, The (1993)",Drama
492,"Savage Nights (Nuits fauves, Les) (1992)",Drama
493,Schindler's List (1993),Drama|War
494,"Scout, The (1994)",Drama
495,Searching for Bobby Fischer (1993),Drama
496,"Secret Garden, The (1993)",Children's|Drama
497,Serial Mom (1994),Comedy|Crime|Horror
498,"Shadow, The (1994)",Action
499,Shadowlands (1993),Drama|Romance
500,Short Cuts (1993),Drama
501,"Simple Twist of Fate, A (1994)",Drama
502,Sirens (1994),Comedy|Drama
503,Six Degrees of Separation (1993),Drama
504,Sleepless in Seattle (1993),Comedy|Romance
505,Sliver (1993),Thriller
506,Blade Runner (1982),Film-Noir|Sci-Fi
507,Son in Law (1993),Comedy
508,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
509,Striking Distance (1993),Action
510,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi
511,Surviving the Game (1994),Action|Adventure|Thriller
512,Terminal Velocity (1994),Action
513,Thirty-Two Short Films About Glenn Gould (1993),Documentary
514,Threesome (1994),Comedy|Romance
515,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
516,"Three Musketeers, The (1993)",Action|Adventure|Comedy
517,Tombstone (1993),Western
518,Trial by Jury (1994),Thriller
519,True Romance (1993),Action|Crime|Romance
520,"War Room, The (1993)",Documentary
521,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy
522,"Paris, France (1993)",Comedy
523,"Beans of Egypt, Maine, The (1994)",Drama
524,Killer (Bulletproof Heart) (1994),Thriller
525,Welcome to the Dollhouse (1995),Comedy|Drama
526,Germinal (1993),Drama
527,Chasers (1994),Comedy
528,Cronos (1992),Horror
529,Naked in New York (1994),Comedy|Romance
530,Kika (1993),Drama
531,Bhaji on the Beach (1993),Comedy|Drama
532,Little Big League (1994),Children's|Comedy
533,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama
534,"Wedding Gift, The (1994)",Drama
535,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
536,Spanking the Monkey (1994),Comedy|Drama
537,"Little Rascals, The (1994)",Children's|Comedy
538,Andre (1994),Adventure|Children's
539,Princess Caraboo (1994),Drama
540,"Celluloid Closet, The (1995)",Documentary
541,Dear Diary (Caro Diario) (1994),Comedy|Drama
542,"Brady Bunch Movie, The (1995)",Comedy
543,Home Alone (1990),Children's|Comedy
544,Ghost (1990),Comedy|Romance|Thriller
545,Aladdin (1992),Animation|Children's|Comedy|Musical
546,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
547,Dances with Wolves (1990),Adventure|Drama|Western
548,Batman (1989),Action|Adventure|Crime|Drama
549,"Silence of the Lambs, The (1991)",Drama|Thriller
550,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical
551,Beauty and the Beast (1991),Animation|Children's|Musical
552,Pinocchio (1940),Animation|Children's
553,Pretty Woman (1990),Comedy|Romance
554,Window to Paris (1994),Comedy
555,"Wild Bunch, The (1969)",Western
556,Love and a .45 (1994),Thriller
557,"Great Day in Harlem, A (1994)",Documentary
558,"Bye Bye, Love (1995)",Comedy
559,One Fine Day (1996),Drama|Romance
560,Candyman: Farewell to the Flesh (1995),Horror
561,Fargo (1996),Crime|Drama|Thriller
562,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children's
563,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
564,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
565,"Pallbearer, The (1996)",Comedy
566,Jane Eyre (1996),Drama|Romance
567,Loaded (1994),Drama|Thriller
568,Bread and Chocolate (Pane e cioccolata) (1973),Drama
569,"Aristocats, The (1970)",Animation|Children's
570,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama
571,Two Much (1996),Comedy|Romance
572,Ed (1996),Comedy
573,My Favorite Season (1993),Drama
574,"Thin Line Between Love and Hate, A (1996)",Comedy
575,"Last Supper, The (1995)",Drama|Thriller
576,Primal Fear (1996),Drama|Thriller
577,Carried Away (1996),Drama|Romance
578,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical
579,Land and Freedom (Tierra y libertad) (1995),War
580,Denise Calls Up (1995),Comedy
581,"Family Thing, A (1996)",Comedy|Drama
582,Sgt. Bilko (1996),Comedy
583,Jack and Sarah (1995),Romance
584,Girl 6 (1996),Comedy
585,Diabolique (1996),Drama|Thriller
586,Nelly & Monsieur Arnaud (1995),Drama
587,Courage Under Fire (1996),Drama|War
588,Mission: Impossible (1996),Action|Adventure|Mystery
589,Cold Fever (Á köldum klaka) (1994),Comedy|Drama
590,Moll Flanders (1996),Drama
591,"301, 302 (1995)",Mystery
592,Dragonheart (1996),Action|Adventure|Fantasy
593,Eddie (1996),Comedy
594,Purple Noon (1960),Crime|Thriller
595,James and the Giant Peach (1996),Animation|Children's|Musical
596,Fear (1996),Thriller
597,Kids in the Hall: Brain Candy (1996),Comedy
598,Faithful (1996),Comedy
599,Underground (1995),War
600,Bloodsport 2 (1995),Action
601,Pather Panchali (1955),Drama
602,Aparajito (1956),Drama
603,"World of Apu, The (Apur Sansar) (1959)",Drama
604,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
605,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy
606,Barbarella (1968),Adventure|Sci-Fi
607,Some Folks Call It a Sling Blade (1993),Drama|Thriller
608,Alphaville (1965),Sci-Fi
609,Clean Slate (Coup de Torchon) (1981),Crime
610,It's My Party (1995),Drama
611,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
612,Mrs. Winterbourne (1996),Comedy|Romance
613,Solo (1996),Action|Sci-Fi|Thriller
614,"Substitute, The (1996)",Action
615,True Crime (1995),Mystery|Thriller
616,Feeling Minnesota (1996),Drama|Romance
617,Delta of Venus (1994),Drama
618,Angus (1995),Comedy
619,Faces (1968),Drama
620,Boys (1996),Drama
621,"Quest, The (1996)",Action|Adventure
622,Cosi (1996),Comedy
623,Mulholland Falls (1996),Crime|Film-Noir|Thriller
624,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
625,Oliver & Company (1988),Animation|Children's
626,Celtic Pride (1996),Comedy
627,Flipper (1996),Adventure|Children's
628,Dead Man (1995),Western
