movie_id,code_level_0,code_level_1,code_level_2
239,1,26,5
240,22,21,23
241,16,7,20
242,2,21,19
243,30,1,1
244,2,18,12
245,2,21,19
246,15,18,29
247,15,1,30
248,8,21,25
249,2,21,19
250,2,21,19
251,15,21,23
252,2,21,19
253,2,21,19
254,2,8,3
255,8,21,12
256,8,18,12
257,0,18,23
258,2,21,19
259,8,18,23
260,2,21,19
261,22,3,19
262,2,21,23
263,2,18,12
264,2,21,19
265,0,18,23
266,14,13,1
267,0,18,29
268,2,21,19
269,27,21,25
270,6,17,11
271,22,11,22
272,0,18,22
273,0,1,12
274,2,1,25
275,2,21,1
276,8,21,25
277,2,18,12
278,2,21,25
279,15,3,23
280,15,21,29
281,17,18,2
282,26,21,23
283,8,21,25
284,2,18,12
285,2,21,19
286,2,21,19
287,2,18,12
288,8,18,12
289,8,21,19
290,5,25,1
291,2,21,19
292,31,3,23
293,3,9,20
294,9,1,10
295,2,1,25
296,27,13,23
297,27,1,29
298,2,3,23
299,26,21,1
300,8,21,25
301,8,21,23
302,2,18,12
303,4,22,2
304,7,18,23
305,16,7,3
306,8,8,19
307,2,1,29
308,25,13,10
309,8,18,25
310,2,21,12
311,27,21,25
312,2,1,25
313,2,21,1
314,21,12,20
315,0,18,22
316,6,25,20
317,2,21,23
318,0,18,22
319,30,28,24
320,8,1,12
321,26,1,12
322,2,21,29
323,2,21,25
324,8,21,25
325,20,15,20
326,22,21,25
327,29,12,25
328,8,21,25
329,14,3,5
330,2,21,19
331,9,14,22
332,0,21,19
333,0,18,22
334,2,21,1
335,29,12,23
336,31,22,20
337,15,3,29
338,28,7,5
339,19,21,19
340,11,1,30
341,2,21,19
342,7,18,22
343,8,18,19
344,31,22,20
345,2,21,23
346,8,21,25
347,26,21,23
348,26,21,23
349,27,13,12
350,9,13,2
351,2,21,23
352,14,1,29
353,14,1,12
354,0,18,23
355,4,10,21
356,17,7,28
357,2,21,23
358,2,8,3
359,19,3,7
360,31,13,19
361,2,21,23
362,2,21,19
363,8,9,25
364,2,21,19
365,15,3,22
366,26,9,25
367,2,21,23
368,1,9,4
369,31,1,30
370,31,18,19
371,7,13,12
372,20,31,25
373,2,21,23
374,27,8,3
375,2,21,19
376,2,3,23
377,8,18,23
378,8,21,23
379,2,21,19
380,8,3,25
381,8,21,1
382,8,17,3
383,19,3,7
384,0,18,23
385,2,1,25
386,8,21,12
387,31,26,2
388,1,13,12
389,27,13,12
390,14,13,1
391,2,21,23
392,15,21,19
393,25,15,22
394,27,11,23
395,2,21,19
396,8,18,12
397,2,21,19
398,2,21,25
399,8,18,12
400,8,21,23
401,17,0,30
402,8,1,12
403,22,13,12
404,8,3,23
405,31,22,20
406,0,3,23
407,8,18,12
408,4,16,9
409,19,1,30
410,0,18,1
411,8,3,25
412,15,21,22
413,0,13,23
414,2,21,1
415,8,3,25
416,26,21,25
417,15,3,1
418,2,18,19
419,8,21,19
420,22,13,12
421,24,29,2
422,2,21,25
423,14,25,22
424,2,1,23
425,31,21,30
426,8,18,23
427,15,18,29
428,17,18,1
429,22,3,25
430,12,30,15
431,6,21,19
432,18,22,2
433,8,3,23
434,0,18,23
435,15,21,19
436,8,21,12
437,0,21,25
438,26,21,23
439,8,18,19
440,14,1,23
441,2,21,19
442,26,21,23
443,2,18,23
444,8,3,12
445,31,1,19
446,3,4,17
447,22,3,25
448,27,1,29
449,2,21,23
450,1,10,20
451,18,13,11
452,8,18,12
453,8,18,1
454,2,21,25
455,8,3,19
456,27,21,1
457,2,21,19
458,8,21,19
459,6,13,12
460,14,13,10
461,2,18,29
462,29,12,23
463,0,18,30
464,15,21,22
465,0,18,22
466,8,21,25
467,2,21,12
468,24,16,12
469,2,18,12
470,4,16,21
471,8,18,12
472,2,1,25
473,6,13,25
474,2,3,25
475,15,18,23
476,2,21,19
477,6,3,25
478,7,0,22
479,0,18,23
480,8,21,25
481,2,18,25
482,26,3,25
483,6,21,25
484,8,21,12
485,27,23,7
486,8,18,19
487,27,1,19
488,6,13,23
489,2,1,23
490,2,18,29
491,2,21,19
492,2,21,1
493,2,21,23
494,2,21,25
495,2,21,19
496,30,3,10
497,8,18,23
498,31,21,19
499,15,3,19
500,2,21,19
501,2,21,19
502,26,21,23
503,2,21,23
504,0,21,1
505,27,13,12
506,31,6,3
507,8,21,25
508,0,17,3
509,31,21,25
510,23,9,6
511,20,30,22
512,18,18,2
513,19,25,23
514,0,21,7
515,9,25,1
516,17,13,25
517,19,21,7
518,27,3,29
519,31,11,29
520,19,21,30
521,13,20,11
522,8,3,23
523,2,18,12
524,27,13,19
525,26,21,25
526,2,3,23
527,8,21,12
528,7,13,25
529,0,21,1
530,2,18,19
531,26,21,23
532,9,10,20
533,26,21,23
534,2,18,25
535,2,18,23
536,26,21,23
537,9,18,25
538,1,21,22
539,2,21,19
540,19,18,24
541,26,21,19
542,8,3,12
543,9,18,23
544,0,17,3
545,5,26,10
546,20,15,26
547,6,14,20
548,4,29,20
549,22,21,19
550,11,10,12
551,11,14,17
552,5,1,1
553,0,21,1
554,8,18,23
555,19,21,7
556,27,13,12
557,19,13,12
558,8,21,19
559,15,21,1
560,7,3,19
561,22,21,23
562,1,9,12
563,23,10,6
564,12,31,2
565,8,21,25
566,15,21,19
567,22,21,19
568,2,21,19
569,5,14,12
570,2,18,12
571,0,18,23
572,8,21,29
573,2,21,1
574,8,21,23
575,22,3,25
576,22,21,19
577,15,3,22
578,5,14,12
579,19,3,13
580,8,21,12
581,26,21,23
582,8,3,25
583,29,21,23
584,8,21,25
585,22,3,22
586,2,21,23
587,2,21,23
588,10,10,26
589,26,21,1
590,2,21,19
591,19,18,12
592,10,25,1
593,8,18,12
594,27,13,10
595,11,13,2
596,27,3,30
597,8,21,19
598,8,21,23
599,19,13,12
600,31,1,25
601,2,1,25
602,2,3,25
603,2,21,19
604,31,26,26
605,13,5,11
606,4,3,1
607,22,21,25
608,31,3,9
609,19,13,12
610,2,21,25
611,17,21,22
612,0,18,25
613,12,3,25
614,31,18,25
615,27,3,25
616,15,21,23
617,2,21,25
618,8,21,23
619,2,21,19
620,2,18,12
621,10,10,21
622,8,3,23
623,27,1,30
624,0,18,29
625,5,10,1
626,8,18,12
627,1,10,20
628,19,13,12
629,2,18,12
630,19,18,7
631,8,25,23
632,8,18,23
633,1,7,27
634,19,21,24
635,2,8,3
636,8,21,25
637,2,21,1
638,8,18,25
639,27,21,23
640,19,13,23
641,20,15,3
642,8,8,3
643,20,30,19
644,18,16,26
645,1,16,27
646,27,21,2
647,8,21,23
648,9,17,4
649,19,1,22
650,8,3,23
651,12,1,30
652,31,6,13
653,8,18,12
654,26,21,23
655,1,13,2
656,30,3,1
657,19,1,24
658,19,3,13
659,18,9,26
660,8,24,25
661,15,18,29
662,26,18,12
663,2,21,23
664,2,21,23
665,19,1,19
666,26,18,12
667,7,13,12
668,2,21,23
669,15,3,23
670,4,9,21
671,2,3,23
672,27,13,12
673,5,28,1
674,8,21,25
675,8,21,25
676,14,1,29
677,0,25,10
678,2,18,12
679,20,13,3
680,8,21,23
681,2,1,23
682,9,18,1
683,15,3,22
684,29,1,2
685,0,21,23
686,2,18,12
687,2,21,1
688,0,21,25
689,1,21,29
690,17,9,2
691,9,14,7
692,8,21,23
693,8,1,25
694,14,0,29
695,8,18,23
696,2,3,25
697,28,18,2
698,8,21,19
699,8,21,12
700,2,21,23
701,22,3,29
702,8,21,23
703,2,21,25
704,20,30,31
705,9,18,23
706,29,12,23
707,14,25,10
708,8,21,19
709,7,3,3
710,7,18,25
711,2,1,22
712,2,21,12
713,26,21,12
714,2,21,23
715,3,2,3
716,2,21,19
717,2,21,19
718,0,18,29
719,2,21,23
720,6,13,25
721,8,21,23
722,14,25,22
723,2,21,25
724,8,1,23
725,26,21,25
726,22,11,22
727,8,18,25
728,19,13,25
729,8,18,12
730,2,3,25
731,2,21,19
732,31,25,10
733,2,21,19
734,7,3,3
735,21,12,20
736,9,10,20
737,22,18,12
738,30,1,19
739,31,13,25
740,5,25,2
741,25,15,22
742,29,12,2
743,2,21,12
744,2,21,25
745,18,18,30
746,0,21,22
747,29,21,21
748,29,1,29
749,8,21,1
750,15,21,12
751,27,0,22
752,27,21,12
753,8,21,25
754,27,21,19
755,0,18,22
756,22,3,19
757,26,21,25
758,8,18,25
759,29,21,26
760,15,21,12
761,19,21,23
762,29,21,29
763,0,21,29
764,0,21,30
765,30,1,10
766,19,3,22
767,1,14,14
768,15,21,29
769,8,21,23
770,19,21,22
771,2,21,23
772,14,6,14
773,18,11,2
774,2,21,1
775,8,21,12
776,27,3,5
777,27,21,29
778,27,3,19
779,27,11,22
780,29,21,2
781,0,17,11
782,8,21,25
783,8,21,19
784,0,3,19
785,0,18,22
786,19,21,22
787,26,21,1
788,10,9,10
789,18,14,22
790,19,24,25
791,15,21,30
792,2,21,19
793,0,3,1
794,26,1,25
795,8,18,12
796,2,21,25
797,2,21,23
798,19,18,25
799,8,21,23
800,18,3,20
801,2,1,25
802,2,21,19
803,8,21,25
804,15,3,12
805,2,21,12
806,8,1,25
807,2,1,25
808,2,21,19
809,2,3,23
810,2,21,23
811,19,3,1
812,19,21,7
813,27,21,23
814,2,21,1
815,19,13,12
816,25,1,30
817,10,10,5
818,26,21,23
819,2,21,19
820,2,21,12
821,2,21,25
822,15,21,22
823,29,21,29
824,2,21,1
825,18,10,10
826,2,21,23
827,26,21,12
828,1,10,3
829,15,18,29
830,26,21,1
831,20,13,20
832,2,3,23
833,27,13,20
834,2,21,19
835,2,21,1
836,6,3,21
837,22,21,25
838,31,24,3
839,19,24,3
840,19,24,3
841,8,21,25
842,22,21,25
843,14,1,29
844,9,25,25
845,2,21,25
846,9,18,25
847,19,1,12
848,28,7,1
849,9,18,2
850,24,26,8
851,30,3,19
852,30,18,22
853,30,22,10
854,1,9,10
855,9,18,25
856,1,10,21
857,9,18,23
858,28,0,22
859,8,18,25
860,9,18,2
861,11,10,21
862,5,25,1
863,5,14,7
864,5,14,7
865,30,3,19
866,2,1,25
867,9,4,21
868,5,18,1
869,13,7,11
870,1,28,22
871,5,4,22
872,11,10,2
873,19,24,3
874,19,3,21
875,14,13,3
876,12,13,25
877,2,21,25
878,2,21,25
879,2,21,19
880,8,21,23
881,15,21,25
882,2,21,29
883,15,21,23
884,14,13,10
885,10,10,1
886,2,1,24
887,2,21,1
888,2,18,19
889,2,21,12
890,27,13,12
891,2,21,19
892,0,1,19
893,2,21,23
894,15,21,1
895,26,21,23
896,2,18,23
897,2,3,25
898,5,26,10
899,0,18,1
900,0,1,7
901,19,24,1
902,27,13,20
903,29,21,23
904,1,19,30
905,27,13,29
906,8,1,25
907,8,3,23
908,8,21,12
909,8,21,12
910,8,21,19
911,2,21,25
912,8,3,1
913,2,18,12
914,18,29,9
915,27,3,25
916,19,3,21
917,29,3,1
918,27,21,19
919,2,1,13
920,8,21,23
921,27,18,25
922,2,21,12
923,15,21,13
924,2,1,25
925,2,21,23
926,24,29,12
927,8,3,12
928,2,18,12
929,18,17,3
930,31,11,29
931,2,21,12
932,2,21,23
933,7,18,19
934,19,18,3
935,6,21,19
936,8,21,25
937,2,21,25
938,2,1,23
939,2,1,25
940,2,21,23
941,2,21,1
942,2,21,1
943,19,18,25
944,2,21,19
945,8,1,12
946,8,1,1
947,3,2,11
948,7,13,12
949,3,2,3
950,7,13,25
951,2,21,19
952,2,1,25
953,8,18,12
954,8,1,23
955,19,18,25
956,19,1,12
957,19,1,29
958,9,14,27
959,2,21,19
960,24,15,11
961,27,21,19
962,19,3,23
963,19,18,1
964,8,18,12
965,2,21,25
966,8,21,23
967,2,1,25
968,2,21,19
969,8,3,25
970,7,13,12
971,19,21,23
972,31,9,19
973,8,21,19
974,29,12,2
975,2,21,25
976,8,18,23
977,8,21,12
978,2,1,23
979,2,18,12
980,2,3,13
981,2,18,23
982,8,18,23
983,31,13,21
984,15,3,23
985,8,3,25
986,2,21,25
987,2,21,23
988,2,18,12
989,0,18,30
990,19,18,22
991,2,3,23
992,19,3,1
993,19,3,25
994,2,21,23
995,8,18,12
996,3,9,14
997,10,22,5
998,10,9,10
999,19,21,22
1000,20,7,11
1001,31,1,7
1002,8,21,25
1003,2,21,23
1004,4,7,20
1005,23,27,4
1006,19,23,3
1007,2,18,23
1008,2,21,12
1009,19,21,7
1010,16,15,5
1011,29,12,2
1012,27,1,23
1013,2,18,29
1014,12,8,25
1015,10,8,17
1016,18,11,30
1017,2,21,25
1018,14,13,10
1019,27,8,3
1020,31,22,20
1021,6,3,25
1022,6,3,25
1023,9,14,27
1024,2,3,23
1025,2,21,19
1026,0,18,30
1027,22,3,23
1028,2,21,23
1029,0,18,29
1030,2,21,19
1031,19,0,22
1032,6,1,12
1033,8,18,23
1034,8,3,25
1035,26,21,23
1036,2,18,12
1037,8,1,25
1038,20,7,26
1039,8,18,23
1040,6,13,25
1041,26,1,25
1042,29,12,25
1043,2,1,25
1044,2,21,1
1045,15,18,23
1046,27,1,30
1047,27,3,22
1048,2,1,23
1049,2,21,23
1050,27,21,19
1051,2,23,3
1052,4,7,20
1053,8,18,23
1054,8,1,12
1055,8,18,25
1056,7,13,12
1057,6,28,3
1058,27,24,29
1059,17,23,23
1060,18,9,1
1061,2,21,25
1062,14,12,5
1063,0,21,19
1064,19,18,7
1065,27,1,30
1066,2,18,1
1067,27,22,20
1068,31,22,20
1069,2,3,25
1070,2,21,19
1071,26,21,1
1072,23,2,11
1073,10,10,21
1074,26,21,25
1075,6,11,22
1076,8,8,3
1077,26,21,1
1078,2,21,19
1079,8,18,23
1080,11,10,11
1081,19,13,12
1082,19,18,23
1083,8,21,23
1084,15,21,23
1085,4,29,3
1086,26,1,23
1087,19,1,12
1088,15,3,23
1089,10,0,30
1090,8,18,12
1091,2,21,19
1092,8,3,23
1093,2,21,19
1094,15,21,22
1095,8,3,25
1096,2,1,23
1097,2,21,23
1098,2,21,19
1099,31,18,9
1100,2,21,30
1101,18,23,1
1102,31,22,10
1103,2,21,12
1104,2,1,12
1105,0,21,1
1106,19,1,24
1107,8,18,23
1108,2,21,19
1109,19,24,3
1110,8,21,23
1111,12,8,3
1112,7,13,12
1113,7,21,19
1114,7,21,19
1115,7,21,19
1116,7,1,19
1117,7,3,19
1118,7,21,19
1119,7,3,23
1120,7,13,25
1121,8,8,3
1122,7,12,24
1123,27,8,3
1124,7,13,25
1125,7,18,26
1126,7,9,11
1127,7,13,12
1128,7,3,25
1129,7,11,22
1130,7,18,19
1131,7,3,25
1132,7,3,19
1133,27,21,29
1134,27,1,29
1135,7,13,12
1136,7,13,12
1137,7,21,3
1138,7,3,23
1139,7,3,25
1140,7,13,12
1141,2,21,25
1142,27,3,23
1143,0,21,30
1144,2,21,25
1145,25,15,29
1146,16,7,11
1147,15,3,25
1148,22,21,25
1149,24,26,30
1150,19,21,23
1151,2,21,19
1152,2,18,12
1153,2,21,25
1154,2,18,12
1155,9,1,1
1156,22,13,12
1157,14,13,1
1158,16,7,3
1159,16,7,11
1160,16,7,22
1161,16,7,3
1162,3,4,17
1163,16,3,3
1164,17,3,22
1165,8,9,25
1166,31,3,20
1167,0,3,1
1168,0,1,23
1169,2,9,21
1170,4,10,12
1171,2,21,25
1172,31,1,30
1173,31,8,8
1174,31,23,8
1175,31,23,23
1176,8,21,19
1177,4,22,30
1178,26,21,25
1179,15,3,23
1180,8,21,12
1181,26,21,23
1182,2,21,12
1183,2,21,19
1184,29,0,30
1185,2,21,25
1186,2,18,12
1187,2,21,25
1188,24,22,21
1189,2,18,12
1190,27,8,3
1191,4,15,13
1192,0,18,25
1193,26,21,1
1194,2,18,12
1195,2,21,19
1196,2,21,25
1197,8,21,12
1198,15,13,29
1199,2,25,1
1200,2,3,19
1201,2,21,25
1202,19,21,22
1203,19,18,23
1204,27,3,19
1205,2,3,23
1206,8,21,12
1207,24,7,0
1208,27,21,30
1209,2,21,19
1210,18,10,10
1211,18,22,2
1212,31,25,19
1213,8,8,3
1214,8,21,25
1215,2,21,25
1216,14,25,22
1217,8,21,25
1218,8,3,23
1219,0,18,23
1220,2,21,19
1221,8,21,12
1222,8,1,12
1223,8,3,12
1224,19,13,12
1225,8,21,23
1226,19,21,13
1227,0,21,1
1228,8,18,12
1229,0,18,22
1230,8,21,23
1231,0,21,1
1232,29,21,29
1233,27,21,25
1234,9,18,23
1235,8,21,23
1236,0,18,23
1237,19,0,29
1238,2,21,25
1239,2,18,12
1240,0,21,3
1241,2,21,19
1242,27,3,19
1243,26,1,30
1244,9,18,1
1245,29,21,29
1246,26,21,29
1247,29,21,29
1248,14,11,22
1249,22,9,22
1250,26,21,23
1251,22,3,25
1252,19,18,23
1253,8,18,25
1254,2,21,25
1255,2,1,1
1256,6,17,22
1257,5,1,25
1258,8,21,23
1259,29,21,24
1260,8,21,23
1261,23,31,11
1262,15,21,19
1263,31,1,19
1264,15,21,25
1265,20,25,3
1266,8,24,1
1267,19,18,25
1268,29,21,2
1269,8,21,12
1270,2,21,23
1271,2,18,12
1272,2,21,19
1273,2,18,12
1274,8,21,12
1275,8,21,12
1276,29,21,2
1277,22,18,19
1278,8,21,25
1279,8,1,25
1280,14,1,29
1281,2,21,25
1282,29,21,24
1283,2,21,25
1284,31,11,29
1285,23,7,15
1286,8,21,23
1287,4,10,8
1288,2,18,12
1289,2,21,19
1290,8,18,23
1291,2,18,23
1292,2,3,23
1293,15,21,1
1294,8,3,23
1295,1,3,10
1296,8,18,25
1297,0,21,22
1298,29,12,22
1299,2,21,19
1300,3,23,8
1301,2,3,23
1302,8,3,12
1303,30,3,25
1304,15,3,25
1305,0,1,23
1306,24,29,17
1307,20,15,3
1308,15,21,23
1309,12,30,11
1310,17,23,0
1311,2,21,19
1312,0,21,7
1313,8,17,3
1314,13,7,6
1315,2,21,19
1316,0,21,30
1317,19,23,11
1318,0,18,23
1319,2,21,19
1320,12,13,3
1321,29,21,23
1322,2,21,1
1323,10,13,22
1324,8,18,23
1325,1,1,23
1326,24,7,21
1327,2,1,12
1328,8,3,25
1329,6,21,22
1330,10,9,25
1331,9,1,1
1332,2,21,23
1333,12,0,12
1334,3,17,21
1335,9,10,10
1336,0,18,23
1337,2,21,19
1338,24,14,14
1339,2,21,23
1340,14,0,5
1341,22,21,25
1342,31,13,25
1343,15,3,22
1344,2,1,23
1345,8,3,25
1346,27,23,30
1347,31,22,20
1348,18,11,30
1349,10,10,7
1350,14,9,21
1351,2,21,23
1352,14,13,1
1353,2,21,25
1354,8,18,23
1355,2,21,23
1356,8,18,23
1357,14,25,3
1358,14,25,20
1359,27,24,19
1360,2,1,19
1361,22,18,23
1362,2,21,19
1363,26,21,25
1364,7,3,7
1365,2,21,19
1366,27,18,25
1367,22,9,22
1368,31,0,3
1369,0,21,1
1370,27,21,22
1371,0,18,25
1372,2,21,23
1373,2,21,1
1374,14,13,21
1375,15,3,23
1376,8,1,25
1377,8,21,19
1378,26,21,23
1379,15,21,22
1380,27,8,22
1381,27,8,25
1382,8,21,12
1383,27,21,19
1384,26,0,12
1385,19,21,25
1386,2,21,12
1387,2,21,23
1388,22,0,29
1389,24,29,11
1390,7,18,3
1391,29,21,2
1392,19,21,19
1393,27,11,22
1394,2,21,19
1395,2,3,25
1396,27,21,29
1397,19,3,7
1398,8,18,30
1399,2,21,29
1400,8,3,23
1401,29,21,29
1402,6,13,25
1403,2,21,19
1404,29,18,2
1405,2,3,25
1406,19,18,21
1407,2,21,1
1408,2,21,23
1409,15,17,3
1410,27,3,23
1411,3,4,17
1412,8,18,23
1413,2,21,23
1414,8,21,19
1415,15,21,19
1416,10,21,17
1417,2,21,12
1418,22,11,22
1419,29,21,24
1420,29,1,23
1421,27,13,12
1422,14,3,1
1423,11,10,3
1424,8,18,10
1425,12,9,31
1426,25,1,30
1427,2,21,25
1428,2,18,12
1429,2,18,12
1430,2,18,23
1431,2,18,12
1432,26,21,23
1433,9,3,1
1434,8,18,23
1435,2,21,19
1436,9,1,1
1437,26,1,23
1438,9,18,1
1439,27,13,29
1440,27,8,30
1441,27,21,29
1442,2,21,23
1443,3,13,3
1444,15,21,1
1445,14,25,5
1446,2,18,12
1447,2,21,25
1448,2,18,29
1449,2,21,19
1450,2,18,19
1451,2,3,23
1452,8,18,12
1453,27,22,10
1454,15,18,29
1455,26,18,19
1456,15,21,23
1457,1,16,3
1458,2,3,19
1459,19,18,19
1460,20,25,3
1461,8,21,25
1462,26,21,23
1463,27,23,7
1464,29,21,2
1465,28,23,22
1466,14,13,10
1467,8,18,12
1468,14,0,25
1469,29,21,23
1470,7,21,19
1471,2,21,19
1472,2,21,1
1473,8,1,7
1474,12,31,18
1475,15,21,1
1476,14,13,21
1477,27,11,22
1478,7,13,12
1479,31,26,2
1480,0,21,22
1481,4,17,1
1482,19,1,30
1483,0,18,23
1484,27,13,10
1485,26,18,29
1486,31,18,12
1487,2,25,30
1488,2,21,1
1489,14,13,21
1490,8,21,25
1491,26,18,12
1492,6,13,21
1493,19,21,19
1494,27,13,20
1495,2,18,19
1496,15,9,21
1497,2,21,25
1498,22,21,23
1499,24,26,2
1500,2,3,25
1501,26,18,12
1502,2,1,19
1503,2,1,23
1504,30,22,10
1505,2,21,25
1506,26,21,29
1507,29,12,2
1508,0,18,22
1509,9,10,10
1510,8,17,31
1511,2,21,30
1512,28,10,21
1513,8,21,24
1514,15,3,22
1515,12,9,8
1516,6,17,29
1517,22,3,25
1518,29,21,24
1519,2,18,12
1520,8,21,23
1521,8,21,23
1522,2,21,19
1523,22,13,10
1524,2,21,19
1525,8,17,1
1526,2,21,23
1527,1,5,10
1528,18,0,29
1529,15,3,23
1530,8,3,12
1531,0,21,1
1532,8,3,12
1533,19,21,29
1534,8,21,1
1535,8,9,25
1536,2,21,23
1537,2,1,23
1538,7,0,22
1539,8,18,12
1540,8,21,12
1541,19,13,25
1542,8,9,25
1543,10,9,21
1544,14,13,29
1545,26,21,23
1546,2,21,19
1547,2,21,23
1548,0,18,1
1549,8,21,19
1550,14,23,14
1551,0,18,23
1552,2,21,25
1553,2,21,25
1554,13,7,12
1555,20,7,31
1556,8,21,23
1557,26,21,23
1558,26,21,23
1559,18,3,22
1560,29,12,2
1561,27,13,29
1562,2,21,19
1563,27,8,3
1564,27,18,25
1565,2,1,22
1566,18,26,5
1567,29,12,23
1568,8,21,23
1569,15,3,1
1570,2,21,19
1571,6,14,3
1572,2,21,1
1573,19,21,29
1574,15,18,22
1575,8,21,23
1576,26,21,23
1577,0,21,25
1578,5,14,7
1579,21,9,20
1580,31,22,19
1581,8,21,19
1582,31,11,29
1583,2,21,23
1584,26,1,1
1585,6,22,1
1586,3,17,11
1587,26,1,30
1588,9,3,23
1589,5,9,3
1590,27,23,7
1591,2,21,25
1592,8,18,12
1593,25,9,3
1594,15,21,29
1595,19,3,12
1596,19,1,22
1597,19,3,7
1598,2,1,23
1599,2,1,25
1600,18,14,30
1601,19,3,22
1602,2,1,25
1603,8,21,25
1604,2,21,19
1605,2,21,19
1606,8,18,12
1607,2,21,25
1608,2,18,12
1609,2,21,19
1610,2,18,12
1611,2,21,1
1612,2,1,25
1613,15,3,13
1614,2,21,19
1615,15,3,1
1616,29,1,12
1617,8,18,12
1618,2,3,23
1619,2,21,23
1620,19,3,7
1621,2,1,25
1622,6,17,11
1623,6,13,21
1624,2,21,25
1625,2,21,29
1626,2,21,1
1627,26,18,12
1628,15,21,1
1629,2,1,13
1630,2,21,1
1631,2,21,19
1632,8,18,23
1633,2,21,25
1634,8,25,25
1635,8,3,23
1636,28,7,30
1637,26,21,12
1638,7,3,25
1639,7,21,23
1640,7,21,25
1641,7,21,3
1642,7,3,19
1643,7,13,12
1644,7,21,19
1645,7,3,23
1646,7,3,19
1647,7,21,19
1648,7,3,22
1649,7,21,19
1650,7,21,19
1651,7,13,12
1652,7,21,7
1653,7,21,19
1654,7,21,22
1655,7,21,22
1656,7,3,3
1657,7,3,19
1658,7,3,19
1659,7,21,19
1660,7,13,3
